epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8182,1.67466,2.30833,1.40262,0.87165,0.17576,0.3819,0.19111,1.61352,2.57914,1.40084,0.000655367,0.000655367,0.000655367
2,140.966,1.66932,1.76447,1.39435,0.57607,0.46364,0.49326,0.24788,1.65788,1.91945,1.45623,0.00125659,0.00125659,0.00125659
3,206.73,1.70356,1.70954,1.3807,0.5084,0.35758,0.37144,0.1765,1.87134,2.21078,1.66368,0.00179182,0.00179182,0.00179182
4,272.6,1.67107,1.66218,1.40927,0.47791,0.49375,0.45116,0.23673,1.6866,1.90613,1.4651,0.001703,0.001703,0.001703
5,69.558,1.63574,1.55063,1.38136,0.64575,0.51924,0.53963,0.26432,1.62648,1.59518,1.46273,0.001604,0.001604,0.001604
6,136.509,1.52932,1.42647,1.29397,0.59872,0.49733,0.54629,0.28172,1.58144,1.70141,1.44987,0.001505,0.001505,0.001505
7,202.822,1.48626,1.34313,1.26685,0.61997,0.49091,0.55348,0.2948,1.64351,1.54848,1.39795,0.001406,0.001406,0.001406
8,267.889,1.49084,1.35029,1.28428,0.72821,0.49527,0.5863,0.29898,1.65822,1.59105,1.4103,0.001307,0.001307,0.001307
9,68.1582,1.42876,1.2392,1.2408,0.68896,0.55152,0.63413,0.33902,1.57554,1.47939,1.33502,0.001208,0.001208,0.001208
10,133.472,1.35055,1.17337,1.19739,0.73356,0.59237,0.66195,0.36312,1.50472,1.36284,1.33363,0.001109,0.001109,0.001109
11,198.286,1.45321,1.41651,1.26886,0.62838,0.60909,0.6536,0.34318,1.52292,1.52173,1.34198,0.00101,0.00101,0.00101
12,263.259,1.35591,1.20552,1.21836,0.76986,0.59394,0.68158,0.37913,1.48281,1.32538,1.30583,0.000911,0.000911,0.000911
13,66.9377,1.43319,1.24595,1.26684,0.73408,0.56884,0.68302,0.3704,1.54182,1.31621,1.35778,0.000812,0.000812,0.000812
14,131.892,1.37138,1.1819,1.22028,0.70851,0.63636,0.69591,0.40099,1.45718,1.27419,1.28427,0.000713,0.000713,0.000713
15,197.553,1.28828,1.15909,1.18153,0.78268,0.60909,0.70595,0.41135,1.43738,1.22937,1.27265,0.000614,0.000614,0.000614
16,262.226,1.24609,1.08532,1.148,0.79439,0.62121,0.71714,0.42115,1.38784,1.1683,1.27152,0.000515,0.000515,0.000515
17,68.9205,1.13546,0.93571,1.09559,0.80486,0.65758,0.7427,0.43614,1.41441,1.15732,1.26515,0.000416,0.000416,0.000416
18,134.349,1.10667,0.91089,1.06961,0.80166,0.64848,0.76262,0.43968,1.42369,1.1422,1.28729,0.000317,0.000317,0.000317
19,201.157,1.07834,0.87942,1.06919,0.86426,0.60909,0.7499,0.43456,1.39539,1.14061,1.26719,0.000218,0.000218,0.000218
20,267.089,1.05398,0.84897,1.04865,0.802,0.63828,0.73336,0.42856,1.38669,1.12425,1.26008,0.000119,0.000119,0.000119
